School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated
32K376,471,231,0.49,182,0.386
32K377,135,45,0.333,31,0.23
32K383,862,559,0.648,509,0.59
32K384,362,143,0.395,110,0.304
32K403,259,176,0.68,144,0.556
32K545,447,321,0.718,260,0.582
32K549,292,172,0.589,136,0.466
32K552,390,288,0.738,247,0.633
32K554,406,334,0.823,309,0.761
32K556,381,264,0.693,231,0.606
32K562,351,224,0.638,193,0.55
32K564,104,51,0.49,34,0.327
75K004,371,108,0.291,81,0.218
75K036,394,159,0.404,129,0.327
75K053,440,244,0.555,201,0.457
75K077,295,149,0.505,127,0.431
75K140,337,141,0.418,108,0.32
75K141,371,136,0.367,112,0.302
75K231,305,147,0.482,126,0.413
75K368,237,122,0.515,99,0.418
75K369,489,244,0.499,208,0.425
75K370,245,128,0.522,111,0.453
75K371,208,126,0.606,104,0.5
75K372,178,117,0.657,106,0.596
75K373,473,272,0.575,222,0.469
75K396,470,153,0.326,114,0.243
75K721,473,271,0.573,215,0.455
75K753,349,154,0.441,118,0.338
75K771,497,220,0.443,188,0.378
75K811,316,178,0.563,136,0.43
75M035,262,172,0.656,146,0.557
75M079,278,172,0.619,128,0.46
75M094,390,201,0.515,177,0.454
75M138,649,302,0.465,258,0.398
75M169,323,145,0.449,111,0.344
75M226,257,143,0.556,111,0.432
75M721,205,137,0.668,107,0.522
75M751,223,145,0.65,121,0.543
75M811,410,195,0.476,160,0.39
75Q004,482,233,0.483,204,0.423
75Q009,683,335,0.49,297,0.435
75Q023,280,188,0.671,171,0.611
75Q075,578,291,0.503,240,0.415
75Q177,502,351,0.699,280,0.558
75Q224,342,191,0.558,164,0.48
75Q233,509,294,0.578,238,0.468
75Q255,484,221,0.457,189,0.39
75Q256,506,198,0.391,158,0.312
75Q277,680,370,0.544,310,0.456
75Q721,496,375,0.756,297,0.599
75Q752,411,278,0.676,224,0.545
75Q811,441,267,0.605,225,0.51
75Q993,593,343,0.578,286,0.482
75R025,536,296,0.552,248,0.463
75R037,444,152,0.342,128,0.288
75R373,585,200,0.342,142,0.243
75R721,442,274,0.62,224,0.507
75X010,666,269,0.404,219,0.329
75X012,296,193,0.652,150,0.507
75X017,508,234,0.461,192,0.378
75X168,575,244,0.424,197,0.343
75X176,560,356,0.636,295,0.527
75X186,670,269,0.401,210,0.313
75X188,517,251,0.485,193,0.373
75X352,502,206,0.41,154,0.307
75X469,520,233,0.448,186,0.358
75X596,360,127,0.353,98,0.272
75X721,544,365,0.671,300,0.551
75X723,436,202,0.463,162,0.372
75X754,430,249,0.579,174,0.405
75X811,603,409,0.678,335,0.556
Total,822865,495740,0.602,434618,0.528
